dsm_dem,ndvi_re,slope,l,K,resource,twi,ic,rain,CID
0,0.28136,0.372179,0.0753315,0.967189,0.0080584,0.311792,0.327798,0.828802,1
0.0489302,0.625408,0.641338,0.0966529,0.651592,0.0080743,0.170068,0.373156,0.886627,1
0.0036353,0.656264,0.393009,0.0891842,0.314961,0.0080839,0.342349,0.271606,0.476126,0
0.0060874,0.390758,0.448298,0.0866816,0.38425,0.0081922,0.208985,0.248417,0.809105,0
0.0002016,0.458211,0.550101,0.1086063,0.967189,0.0082622,0.211518,0.369836,0.855415,1
0.0028649,0.546778,0.472956,0.0687679,0.605014,0.0083482,0.335262,0.375255,0.515544,0
0.0604879,0.487815,0.584745,0.0869806,0.967189,0.0083514,0.184192,0.336689,0.830093,1
0.0008999,0.286131,0.466118,0.1231871,0.139426,0.0083769,0.227863,0.27382,0.624014,1
0.0495244,0.617377,0.434717,0.0899578,0.845978,0.0084024,0.204863,0.287253,0.566878,0
0.00018,0.401326,0.265322,0.167354,0.865978,0.0084374,0.324088,0.354829,0.490274,1
0.0007845,0.700169,0.441957,0.1168182,0.1115633,0.0086094,0.189035,0.386579,0.835007,1
0.0002981,0.553027,0.177053,0.1406494,0.219831,0.0086158,0.188151,0.426772,0.942292,1
0.0026468,0.579377,0.595795,0.0899479,0.314961,0.0091095,0.220264,0.264454,0.500062,0
0.001607,0.347411,0.441938,0.0902715,0.119426,0.0093898,0.406018,0.252739,0.551353,0
0.0263237,0.445144,0.542526,0.0895297,0.314961,0.0096573,0.208736,0.268176,0.49369,0
0.0176736,0.425105,0.465627,0.0898195,0.314961,0.0097338,0.36887,0.268902,0.473528,0
0.0025065,0.514115,0.544901,0.076736,0.230083,0.0097847,0.208513,0.254169,0.918613,1
0.0001944,0.673143,0.31745,0.1335664,0.651592,0.0098102,0.234161,0.417967,0.930375,1
0.0168418,0.354401,0.207424,0.0895787,0.119426,0.0099121,0.386138,0.236914,0.720357,0
0.0070828,0.783975,0.575778,0.0998672,0.219831,0.0099344,0.191665,0.313224,0.916606,1
